episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
0,False,False,False,False,[0.],1,91
1,False,False,False,False,[0.],1,91
2,False,False,False,False,[0.],1,91
3,True,True,True,False,[0.],1,60
4,False,False,False,False,[0.],1,91
5,False,False,False,False,[0.],1,91
6,False,False,False,False,[0.],1,91
7,False,False,False,False,[0.],1,91
8,False,False,False,False,[0.],1,91
9,True,True,True,False,[0.],1,89
10,False,False,False,False,[0.],1,91
11,False,False,False,False,[0.],0,91
12,False,False,False,False,[0.],1,91
13,False,False,False,False,[0.],1,91
14,True,True,True,False,[0.],1,50
15,False,False,False,False,[0.],1,91
16,False,False,False,False,[0.],1,91
17,False,False,False,False,[0.],1,91
18,False,False,False,False,[0.],1,91
19,False,False,False,False,[0.],1,91
20,True,False,False,False,[0.],0,30
21,True,True,True,False,[0.],1,73
22,False,False,False,False,[0.],1,91
23,False,False,False,False,[0.],1,91
24,False,False,False,False,[0.],1,91
25,False,False,False,False,[0.],1,91
26,True,True,True,False,[0.],1,54
27,False,False,False,False,[0.],1,91
28,False,False,False,False,[0.],1,91
29,False,False,False,False,[0.],1,91
30,False,False,False,False,[0.],1,91
31,False,False,False,False,[0.],1,91
32,False,True,False,False,[0.],1,91
33,True,True,True,False,[0.],1,75
34,False,False,False,False,[0.],1,91
35,False,False,False,False,[0.],1,91
36,False,False,False,False,[0.],1,91
37,False,False,False,False,[0.],1,91
38,True,True,False,False,[0.],1,78
39,False,False,False,False,[0.],1,91
40,False,False,False,False,[0.],1,91
41,False,False,False,False,[0.],1,91
42,False,False,False,False,[0.],1,91
43,False,False,False,False,[0.],1,91
44,False,False,False,False,[0.],1,91
45,False,False,False,False,[0.],1,91
46,True,True,True,False,[0.],1,49
47,False,False,False,False,[0.],1,91
48,False,False,False,False,[0.],1,91
49,False,False,False,False,[0.],1,91
